OrderID,Date,CustomerID,ItemID,price,quantity,s_market,f_original_price,s_original_currency
OR12345,15.10.2015,CUS54343,IT8798,45,1,HU,14234.76,HUF
OR12345,15.10.2015,CUS54343,IT2235,30,1,HU,9546.23,HUF
OR12345,15.10.2015,CUS54343,IT8840,25,1,HU,3452.45,HUF
OR12346,16.10.2015,CUS54344,IT8799,50,2,HU,15000.00,HUF
OR12346,16.10.2015,CUS54344,IT2240,20,-1,HU,-7500.00,HUF
OR12347,17.10.2015,CUS54345,IT8800,-30,-1,HU,-9000.00,HUF
OR12348,18.10.2015,CUS54346,IT8801,-25,-1,HU,-5000.00,HUF
OR12349,19.10.2015,CUS54347,IT8802,-15,-1,HU,-3000.00,HUF
OR12350,20.10.2015,CUS54348,IT8803,-10,-1,HU,-2000.00,HUF
OR12351,21.10.2015,CUS54349,IT8804,-5,-1,HU,-1000.00,HUF
